Algorithm,k,n,N,Average Competitive Ratio,Standard Deviation
CBIP,2,50,100,0.5000,0.0000
CBIP,2,100,100,0.5000,0.0000
CBIP,2,200,100,0.5000,0.0000
CBIP,2,400,100,0.5000,0.0000
CBIP,2,800,100,0.5000,0.0000
CBIP,2,1600,100,0.5000,0.0000
FirstFit,2,50,100,1.5000,0.5903
FirstFit,2,100,100,1.5600,0.6042
FirstFit,2,200,100,1.6400,0.7852
FirstFit,2,400,100,1.4950,0.6009
FirstFit,2,800,100,1.5150,0.6374
FirstFit,2,1600,100,1.5400,0.7024
FirstFit,3,50,100,1.9967,0.5983
FirstFit,3,100,100,2.0767,0.8988
FirstFit,3,200,100,2.1833,0.9644
FirstFit,3,400,100,2.2700,1.1338
FirstFit,3,800,100,2.1800,0.9492
FirstFit,3,1600,100,2.2400,1.0700
FirstFit,4,50,100,2.1275,0.4257
FirstFit,4,100,100,2.4000,0.7842
FirstFit,4,200,100,2.8100,1.1377
FirstFit,4,400,100,3.2425,1.4189
FirstFit,4,800,100,3.2375,1.3759
FirstFit,4,1600,100,3.2275,1.4967
FirstFitHeuristic,2,50,100,1.4150,0.2757
FirstFitHeuristic,2,100,100,1.4650,0.2587
FirstFitHeuristic,2,200,100,1.4800,0.3250
FirstFitHeuristic,2,400,100,1.4200,0.2727
FirstFitHeuristic,2,800,100,1.4700,0.2443
FirstFitHeuristic,2,1600,100,1.4400,0.2954
FirstFitHeuristic,3,50,100,1.7033,0.4155
FirstFitHeuristic,3,100,100,1.7967,0.4517
FirstFitHeuristic,3,200,100,1.7700,0.4537
FirstFitHeuristic,3,400,100,1.8533,0.6380
FirstFitHeuristic,3,800,100,1.8300,0.4843
FirstFitHeuristic,3,1600,100,1.7667,0.5350
FirstFitHeuristic,4,50,100,1.9025,0.3639
FirstFitHeuristic,4,100,100,2.0900,0.4721
FirstFitHeuristic,4,200,100,2.2775,0.7587
FirstFitHeuristic,4,400,100,2.6000,1.0088
FirstFitHeuristic,4,800,100,2.7775,1.3413
FirstFitHeuristic,4,1600,100,2.8000,1.2836
